FIPS,State,County,Variable_Code,Value
1001,AL,Autauga County,2010_Census_Population,54571
1001,AL,Autauga County,Population_Estimate_2011,55208
1001,AL,Autauga County,Population_Estimate_2012,54936
1001,AL,Autauga County,Population_Estimate_2013,54713
1001,AL,Autauga County,Population_Estimate_2014,54876
1001,AL,Autauga County,Population_Estimate_2015,54838
1001,AL,Autauga County,Population_Estimate_2016,55242
1001,AL,Autauga County,Population_Estimate_2017,55443
1001,AL,Autauga County,Population_Estimate_2018,55601
1003,AL,Baldwin County,2010_Census_Population,182265
1003,AL,Baldwin County,Population_Estimate_2011,186540
1003,AL,Baldwin County,Population_Estimate_2012,190143
1003,AL,Baldwin County,Population_Estimate_2013,194886
1003,AL,Baldwin County,Population_Estimate_2014,199189
1003,AL,Baldwin County,Population_Estimate_2015,202995
1003,AL,Baldwin County,Population_Estimate_2016,207712
1003,AL,Baldwin County,Population_Estimate_2017,212619
1003,AL,Baldwin County,Population_Estimate_2018,218022
1005,AL,Barbour County,2010_Census_Population,27457
1005,AL,Barbour County,Population_Estimate_2011,27350
1005,AL,Barbour County,Population_Estimate_2012,27174
1005,AL,Barbour County,Population_Estimate_2013,26944
1005,AL,Barbour County,Population_Estimate_2014,26758
1005,AL,Barbour County,Population_Estimate_2015,26294
1005,AL,Barbour County,Population_Estimate_2016,25819
1005,AL,Barbour County,Population_Estimate_2017,25158
1005,AL,Barbour County,Population_Estimate_2018,24881
1007,AL,Bibb County,2010_Census_Population,22915
1007,AL,Bibb County,Population_Estimate_2011,22747
1007,AL,Bibb County,Population_Estimate_2012,22664
1007,AL,Bibb County,Population_Estimate_2013,22516
1007,AL,Bibb County,Population_Estimate_2014,22541
1007,AL,Bibb County,Population_Estimate_2015,22562
1007,AL,Bibb County,Population_Estimate_2016,22576
1007,AL,Bibb County,Population_Estimate_2017,22555
1007,AL,Bibb County,Population_Estimate_2018,22400
1009,AL,Blount County,2010_Census_Population,57322
1009,AL,Blount County,Population_Estimate_2011,57554
1009,AL,Blount County,Population_Estimate_2012,57570
1009,AL,Blount County,Population_Estimate_2013,57611
1009,AL,Blount County,Population_Estimate_2014,57521
1009,AL,Blount County,Population_Estimate_2015,57522
1009,AL,Blount County,Population_Estimate_2016,57517
1009,AL,Blount County,Population_Estimate_2017,57827
1009,AL,Blount County,Population_Estimate_2018,57840
1011,AL,Bullock County,2010_Census_Population,10914
1011,AL,Bullock County,Population_Estimate_2011,10677
1011,AL,Bullock County,Population_Estimate_2012,10607
1011,AL,Bullock County,Population_Estimate_2013,10551
1011,AL,Bullock County,Population_Estimate_2014,10665
1011,AL,Bullock County,Population_Estimate_2015,10400
1011,AL,Bullock County,Population_Estimate_2016,10381
1011,AL,Bullock County,Population_Estimate_2017,10176
1011,AL,Bullock County,Population_Estimate_2018,10138
1013,AL,Butler County,2010_Census_Population,20947
1013,AL,Butler County,Population_Estimate_2011,20878
1013,AL,Butler County,Population_Estimate_2012,20687
1013,AL,Butler County,Population_Estimate_2013,20374
1013,AL,Butler County,Population_Estimate_2014,20343
1013,AL,Butler County,Population_Estimate_2015,20176
1013,AL,Butler County,Population_Estimate_2016,20029
1013,AL,Butler County,Population_Estimate_2017,19898
1013,AL,Butler County,Population_Estimate_2018,19680
1015,AL,Calhoun County,2010_Census_Population,118572
1015,AL,Calhoun County,Population_Estimate_2011,117797
1015,AL,Calhoun County,Population_Estimate_2012,117257
1015,AL,Calhoun County,Population_Estimate_2013,116541
1015,AL,Calhoun County,Population_Estimate_2014,115995
1015,AL,Calhoun County,Population_Estimate_2015,115536
1015,AL,Calhoun County,Population_Estimate_2016,115018
1015,AL,Calhoun County,Population_Estimate_2017,114664
1015,AL,Calhoun County,Population_Estimate_2018,114277
1017,AL,Chambers County,2010_Census_Population,34215
1017,AL,Chambers County,Population_Estimate_2011,34030
1017,AL,Chambers County,Population_Estimate_2012,34104
1017,AL,Chambers County,Population_Estimate_2013,34143
1017,AL,Chambers County,Population_Estimate_2014,33980
1017,AL,Chambers County,Population_Estimate_2015,34007
1017,AL,Chambers County,Population_Estimate_2016,33771
1017,AL,Chambers County,Population_Estimate_2017,33758
1017,AL,Chambers County,Population_Estimate_2018,33615
1019,AL,Cherokee County,2010_Census_Population,25989
1019,AL,Cherokee County,Population_Estimate_2011,25994
1019,AL,Cherokee County,Population_Estimate_2012,25963
1019,AL,Cherokee County,Population_Estimate_2013,26025
1019,AL,Cherokee County,Population_Estimate_2014,25902
1019,AL,Cherokee County,Population_Estimate_2015,25739
1019,AL,Cherokee County,Population_Estimate_2016,25776
1019,AL,Cherokee County,Population_Estimate_2017,25815
1019,AL,Cherokee County,Population_Estimate_2018,26032
1021,AL,Chilton County,2010_Census_Population,43643
1021,AL,Chilton County,Population_Estimate_2011,43687
1021,AL,Chilton County,Population_Estimate_2012,43582
1021,AL,Chilton County,Population_Estimate_2013,43634
1021,AL,Chilton County,Population_Estimate_2014,43769
1021,AL,Chilton County,Population_Estimate_2015,43717
1021,AL,Chilton County,Population_Estimate_2016,43896
1021,AL,Chilton County,Population_Estimate_2017,44117
1021,AL,Chilton County,Population_Estimate_2018,44153
1023,AL,Choctaw County,2010_Census_Population,13859
1023,AL,Choctaw County,Population_Estimate_2011,13607
1023,AL,Choctaw County,Population_Estimate_2012,13561
1023,AL,Choctaw County,Population_Estimate_2013,13396
1023,AL,Choctaw County,Population_Estimate_2014,13317
1023,AL,Choctaw County,Population_Estimate_2015,13233
1023,AL,Choctaw County,Population_Estimate_2016,13049
1023,AL,Choctaw County,Population_Estimate_2017,12935
