"name","dateEstablished","city","country","longitude","latitude"
"Carl's Jr.","2019","Greeley","US",-104.69699,40.39629
"Del Taco","2018","Grand Junction","US",-108.58689,39.08135
"Which Wich","2019","Grand Junction","US",-108.55411,39.09148
"Chipotle Mexican Grill","2019","Aurora","US",-104.77671,39.76369
"Taco Bell","2019","Denver","US",-104.92636,39.74044
"McDonald's","2019","Denver","US",-105.00467,39.73967
"McDonald's","2019","Denver","US",-104.98829,39.7417
"Taco Bell","2018","Fayetteville","US",-94.155319,36.085369
"Captain D's Seafood Kitchen","2019","Aurora","US",-104.86633,39.70534
"Shondiz","2019","Denver","US",-104.99459,39.749107
"Cook-Out","2019","Colorado Springs","US",-104.8257,38.87469
"Steak 'n Shake","2017","Colorado Springs","US",-104.79873,38.94581
"QDOBA Mexican Eats","2019","Colorado Springs","US",-104.81956,38.80491
"QDOBA Mexican Eats","2019","Colorado Springs","US",-104.79854,38.93604
"Burger King","2016","Little Rock","US",-92.400605,34.772621
"Hardee's","2016","Harrison","US",-93.1265,36.2597
"Shelikof Lodge Restaurant","2015","Kodiak","US",-152.40676,57.791026
"Taco Time","2017","Ketchikan","US",-131.67413,55.3484
"Taco Bell","2015","Kodiak","US",-152.36508,57.80987
"Taco Bell","2016","North Pole","US",-147.35411,64.756076
"Pizza Mill","2017","Ketchikan","US",-131.6533,55.3445
"Pizza Hut","2016","Kenai","US",-151.22925,60.561
"Pizza Hut","2016","Fairbanks","US",-147.7606,64.8373
"Sweet Pink Pepper","2016","Anchorage","US",-149.8035,61.2076
"Arby's","2017","Cottage Grove","US",-123.039401,43.800839
"Nathan's Famous Hot Dogs","2019","White Plains","US",-73.77877,41.03715
"Moy's Dynasty Restaurant","2016","La Grande","US",-118.0848,45.3222
"Arby's","2017","Omaha","US",-96.04496,41.233837
"Chick-fil-A","2019","Leeds","US",-86.52249,33.56184
"Jack's Family Restaurants","2016","Lafayette","US",-85.40805,32.88285
"Jack's Family Restaurants","2019","Reform","US",-88.02008,33.38099
"Subway","2017","Andalusia","US",-86.49962,31.30987
"Krispy Krunchy Chicken","2017","Somerville","US",-86.75545,34.44567
"Subway","2016","Owens Cross Roads","US",-86.44759,34.57064
"Burger King","2019","Opp","US",-86.25011,31.28001
"Kfc","2017","Oneonta","US",-86.46733,33.95433
"Pizza Hut","2017","Arab","US",-86.50455,34.33266
"Pizza Hut","2016","Fayette","US",-87.82406,33.70698
"Subway","2017","Owens Cross Roads","US",-86.48167,34.65901
"Jack's","2015","Guin","US",-87.91083,33.96641
"Bates House Of Turkey Inc","2019","Greenville","US",-86.64201,31.85179
"Hardee's","2017","Grand Bay","US",-88.33755,30.49509
"McDonald's","2019","Gardendale","US",-86.8234,33.64677
"Sonic Drive-In","2018","Gardendale","US",-86.8105,33.65271
"McDonald's","2016","Livingston","US",-88.20632,32.6243
"Pizza Hut","2016","Livingston","US",-88.1965,32.62111
"Kretch's Restaurant","2016","Marco Island","US",-81.7228,25.9509
"Subway","2016","Hanceville","US",-86.77643,34.07124
"Jack's","2019","Haleyville","US",-87.62024,34.2277
"Kfc","2019","Birmingham","US",-86.71381,33.53055
