"Year","Obesity....","Sex","count"
1975,"10.3","Male",1
1975,"11.9","Both sexes",1
1975,"13.3","Female",1
1976,"10.7","Male",1
1976,"12.2","Both sexes",1
1976,"13.6","Female",1
1977,"11.0","Male",1
1977,"12.6","Both sexes",1
1977,"14.0","Female",1
1978,"11.4","Male",1
1978,"13.0","Both sexes",1
1978,"14.4","Female",1
1979,"11.7","Male",1
1979,"13.3","Both sexes",1
1979,"14.8","Female",1
1980,"12.1","Male",1
1980,"13.7","Both sexes",1
1980,"15.2","Female",1
1981,"12.5","Male",1
1981,"14.1","Both sexes",1
1981,"15.6","Female",1
1982,"12.9","Male",1
1982,"14.6","Both sexes",1
1982,"16.0","Female",1
1983,"13.4","Male",1
1983,"15.0","Both sexes",1
1983,"16.5","Female",1
1984,"13.8","Male",1
1984,"15.5","Both sexes",1
1984,"16.9","Female",1
1985,"14.3","Male",1
1985,"16.0","Both sexes",1
1985,"17.4","Female",1
1986,"14.8","Male",1
1986,"16.5","Both sexes",1
1986,"17.9","Female",1
1987,"15.3","Male",1
1987,"17.0","Both sexes",1
1987,"18.5","Female",1
1988,"15.9","Male",1
1988,"17.5","Both sexes",1
1988,"19.0","Female",1
1989,"16.4","Male",1
1989,"18.1","Both sexes",1
1989,"19.6","Female",1
1990,"17.0","Male",1
1990,"18.7","Both sexes",1
1990,"20.2","Female",1
1991,"17.6","Male",1
1991,"19.3","Both sexes",1
1991,"20.8","Female",1
1992,"18.3","Male",1
1992,"19.9","Both sexes",1
1992,"21.4","Female",1
1993,"18.9","Male",1
1993,"20.6","Both sexes",1
1993,"22.0","Female",1
1994,"19.6","Male",1
1994,"21.2","Both sexes",1
1994,"22.7","Female",1
1995,"20.3","Male",1
1995,"21.9","Both sexes",1
1995,"23.4","Female",1
1996,"21.0","Male",1
1996,"22.6","Both sexes",1
1996,"24.1","Female",1
1997,"21.8","Male",1
1997,"23.3","Both sexes",1
1997,"24.8","Female",1
1998,"22.5","Male",1
1998,"24.1","Both sexes",1
1998,"25.5","Female",1
1999,"23.3","Male",1
1999,"24.8","Both sexes",1
1999,"26.2","Female",1
2000,"24.0","Male",1
2000,"25.5","Both sexes",1
2000,"26.9","Female",1
2001,"24.8","Male",1
2001,"26.2","Both sexes",1
2001,"27.6","Female",1
2002,"25.5","Male",1
2002,"26.9","Both sexes",1
2002,"28.3","Female",1
2003,"26.3","Male",1
2003,"27.6","Both sexes",1
2003,"28.9","Female",1
2004,"27.0","Male",1
2004,"28.3","Both sexes",1
2004,"29.6","Female",1
2005,"27.7","Male",1
2005,"29.0","Both sexes",1
2005,"30.2","Female",1
2006,"28.4","Male",1
2006,"29.7","Both sexes",1
2006,"30.9","Female",1
2007,"29.1","Male",1
2007,"30.3","Both sexes",1
2007,"31.5","Female",1
2008,"29.8","Male",1
2008,"31.0","Both sexes",1
2008,"32.1","Female",1
2009,"30.5","Male",1
2009,"31.7","Both sexes",1
2009,"32.7","Female",1
2010,"31.2","Male",1
2010,"32.3","Both sexes",1
2010,"33.3","Female",1
2011,"31.9","Male",1
2011,"33.0","Both sexes",1
2011,"33.9","Female",1
2012,"32.6","Male",1
2012,"33.6","Both sexes",1
2012,"34.5","Female",1
2013,"33.3","Male",1
2013,"34.3","Both sexes",1
2013,"35.1","Female",1
2014,"34.0","Male",1
2014,"34.9","Both sexes",1
2014,"35.7","Female",1
2015,"34.7","Male",1
2015,"35.6","Both sexes",1
2015,"36.4","Female",1
2016,"35.5","Male",1
2016,"36.2","Both sexes",1
2016,"37.0","Female",1
