"","explanatory.variable.name","response.variable.name","explanatory.variable.code","response.variable.code","correlation.estimate","correlation.p_value"
"cor32","Adult diabetes rate, 2013","Adult obesity rate, 2012*","PCT_DIABETES_ADULTS13","PCT_OBESE_ADULTS12",0.846351669834521,5.22876340976992e-15
"cor31","Adult diabetes rate, 2008","Adult obesity rate, 2012*","PCT_DIABETES_ADULTS08","PCT_OBESE_ADULTS12",0.815507579289392,3.16907859027196e-13
"cor72","Adult diabetes rate, 2013","Adult obesity rate, 2017*","PCT_DIABETES_ADULTS13","PCT_OBESE_ADULTS17",0.756376777613618,1.37236475173222e-10
"cor71","Adult diabetes rate, 2008","Adult obesity rate, 2017*","PCT_DIABETES_ADULTS08","PCT_OBESE_ADULTS17",0.721916670505096,2.25533271963597e-09
"cor10","Full-service restaurants/1,000 pop, 2016","Adult obesity rate, 2012*","FSRPTH16","PCT_OBESE_ADULTS12",-0.707860135104997,6.2895571868618e-09
"cor9","Full-service restaurants/1,000 pop, 2011","Adult obesity rate, 2012*","FSRPTH11","PCT_OBESE_ADULTS12",-0.695077166883239,1.51948584232076e-08
"cor24","Median household income, 2015","Adult obesity rate, 2012*","MEDHHINC15","PCT_OBESE_ADULTS12",-0.677044480055587,4.89543697764032e-08
"cor50","Full-service restaurants/1,000 pop, 2016","Adult obesity rate, 2017*","FSRPTH16","PCT_OBESE_ADULTS17",-0.66954361343784,7.7777758176499e-08
"cor54","Expenditures per capita, restaurants, 2007*","Adult obesity rate, 2017*","PC_FSRSALES07","PCT_OBESE_ADULTS17",-0.660250317752224,1.35565554190054e-07
"cor49","Full-service restaurants/1,000 pop, 2011","Adult obesity rate, 2017*","FSRPTH11","PCT_OBESE_ADULTS17",-0.634378744190953,5.77863028388982e-07
"cor14","Expenditures per capita, restaurants, 2007*","Adult obesity rate, 2012*","PC_FSRSALES07","PCT_OBESE_ADULTS12",-0.622860675617748,1.05647887143927e-06
"cor55","Expenditures per capita, restaurants, 2012*","Adult obesity rate, 2017*","PC_FSRSALES12","PCT_OBESE_ADULTS17",-0.60030614425555,3.21757868875007e-06
"cor26","Persistent-poverty counties, 2010","Adult obesity rate, 2012*","PERPOV10","PCT_OBESE_ADULTS12",0.596997659143859,3.76178934066055e-06
"cor64","Median household income, 2015","Adult obesity rate, 2017*","MEDHHINC15","PCT_OBESE_ADULTS17",-0.581477985329097,7.65385963176024e-06
"cor46","Full-service restaurants, 2011","Adult obesity rate, 2017*","FSR11","PCT_OBESE_ADULTS17",-0.578556381946455,8.71354180543592e-06
"cor15","Expenditures per capita, restaurants, 2012*","Adult obesity rate, 2012*","PC_FSRSALES12","PCT_OBESE_ADULTS12",-0.577197711052015,9.25122014032284e-06
"cor47","Full-service restaurants, 2016","Adult obesity rate, 2017*","FSR16","PCT_OBESE_ADULTS17",-0.575838225241793,9.81980395516395e-06
"cor38","Recreation & fitness facilities/1,000 pop, 2016","Adult obesity rate, 2012*","RECFACPTH16","PCT_OBESE_ADULTS12",-0.561439187093078,1.81765189772236e-05
"cor40","Fast-food restaurants, 2011","Adult obesity rate, 2017*","FFR11","PCT_OBESE_ADULTS17",-0.556839563725594,2.19953555261644e-05
"cor43","Fast-food restaurants/1,000 pop, 2011","Adult obesity rate, 2017*","FFRPTH11","PCT_OBESE_ADULTS17",-0.554307874439759,2.44003060444878e-05
"cor41","Fast-food restaurants, 2016","Adult obesity rate, 2017*","FFR16","PCT_OBESE_ADULTS17",-0.551486006919927,2.73649603157858e-05
"cor75","Recreation & fitness facilities, 2016","Adult obesity rate, 2017*","RECFAC16","PCT_OBESE_ADULTS17",-0.542575859964721,3.90410542369582e-05
"cor37","Recreation & fitness facilities/1,000 pop, 2011","Adult obesity rate, 2012*","RECFACPTH11","PCT_OBESE_ADULTS12",-0.540917520012857,4.16643214566158e-05
"cor25","Poverty rate, 2015","Adult obesity rate, 2012*","POVRATE15","PCT_OBESE_ADULTS12",0.537654030695608,4.73055433987631e-05
"cor6","Full-service restaurants, 2011","Adult obesity rate, 2012*","FSR11","PCT_OBESE_ADULTS12",-0.536779942058241,4.8931239795175e-05
"cor7","Full-service restaurants, 2016","Adult obesity rate, 2012*","FSR16","PCT_OBESE_ADULTS12",-0.533273658704777,5.59814235921551e-05
"cor66","Persistent-poverty counties, 2010","Adult obesity rate, 2017*","PERPOV10","PCT_OBESE_ADULTS17",0.52874940429565,6.64545968766783e-05
"cor35","Recreation & fitness facilities, 2016","Adult obesity rate, 2012*","RECFAC16","PCT_OBESE_ADULTS12",-0.524631586258651,7.75176680664213e-05
"cor74","Recreation & fitness facilities, 2011","Adult obesity rate, 2017*","RECFAC11","PCT_OBESE_ADULTS17",-0.523811501216249,7.99128385519666e-05
