"Year","Obesity....","Sex","count"
1975,"10.7","Female",1
1975,"6.7","Male",1
1975,"8.8","Both sexes",1
1976,"10.9","Female",1
1976,"7.0","Male",1
1976,"9.1","Both sexes",1
1977,"11.1","Female",1
1977,"7.3","Male",1
1977,"9.3","Both sexes",1
1978,"11.4","Female",1
1978,"7.5","Male",1
1978,"9.5","Both sexes",1
1979,"11.6","Female",1
1979,"7.8","Male",1
1979,"9.8","Both sexes",1
1980,"10.0","Both sexes",1
1980,"11.8","Female",1
1980,"8.1","Male",1
1981,"10.3","Both sexes",1
1981,"12.0","Female",1
1981,"8.3","Male",1
1982,"10.5","Both sexes",1
1982,"12.2","Female",1
1982,"8.6","Male",1
1983,"10.7","Both sexes",1
1983,"12.4","Female",1
1983,"8.9","Male",1
1984,"11.0","Both sexes",1
1984,"12.6","Female",1
1984,"9.2","Male",1
1985,"11.2","Both sexes",1
1985,"12.9","Female",1
1985,"9.4","Male",1
1986,"11.5","Both sexes",1
1986,"13.1","Female",1
1986,"9.7","Male",1
1987,"10.1","Male",1
1987,"11.8","Both sexes",1
1987,"13.3","Female",1
1988,"10.4","Male",1
1988,"12.0","Both sexes",1
1988,"13.5","Female",1
1989,"10.7","Male",1
1989,"12.3","Both sexes",1
1989,"13.8","Female",1
1990,"11.0","Male",1
1990,"12.6","Both sexes",1
1990,"14.0","Female",1
1991,"11.4","Male",1
1991,"12.9","Both sexes",1
1991,"14.3","Female",1
1992,"11.7","Male",1
1992,"13.2","Both sexes",1
1992,"14.5","Female",1
1993,"12.1","Male",1
1993,"13.5","Both sexes",1
1993,"14.8","Female",1
1994,"12.4","Male",1
1994,"13.8","Both sexes",1
1994,"15.0","Female",1
1995,"12.8","Male",1
1995,"14.1","Both sexes",1
1995,"15.3","Female",1
1996,"13.2","Male",1
1996,"14.5","Both sexes",1
1996,"15.6","Female",1
1997,"13.6","Male",1
1997,"14.8","Both sexes",1
1997,"15.9","Female",1
1998,"14.0","Male",1
1998,"15.1","Both sexes",1
1998,"16.1","Female",1
1999,"14.4","Male",1
1999,"15.5","Both sexes",1
1999,"16.4","Female",1
2000,"14.8","Male",1
2000,"15.8","Both sexes",1
2000,"16.7","Female",1
2001,"15.2","Male",1
2001,"16.2","Both sexes",1
2001,"17.0","Female",1
2002,"15.6","Male",1
2002,"16.5","Both sexes",1
2002,"17.3","Female",1
2003,"16.1","Male",1
2003,"16.9","Both sexes",1
2003,"17.5","Female",1
2004,"16.5","Male",1
2004,"17.2","Both sexes",1
2004,"17.8","Female",1
2005,"16.9","Male",1
2005,"17.6","Both sexes",1
2005,"18.1","Female",1
2006,"17.4","Male",1
2006,"17.9","Both sexes",1
2006,"18.4","Female",1
2007,"17.8","Male",1
2007,"18.3","Both sexes",1
2007,"18.6","Female",1
2008,"18.2","Male",1
2008,"18.6","Both sexes",1
2008,"18.9","Female",1
2009,"18.7","Male",1
2009,"19.0","Both sexes",1
2009,"19.2","Female",1
2010,"19.2","Male",1
2010,"19.3","Both sexes",1
2010,"19.5","Female",1
2011,"19.6","Male",1
2011,"19.7","Both sexes",1
2011,"19.7","Female",1
2012,"20.0","Female",1
2012,"20.1","Both sexes",1
2012,"20.1","Male",1
2013,"20.3","Female",1
2013,"20.4","Both sexes",1
2013,"20.5","Male",1
2014,"20.5","Female",1
2014,"20.8","Both sexes",1
2014,"21.0","Male",1
2015,"20.8","Female",1
2015,"21.2","Both sexes",1
2015,"21.5","Male",1
2016,"21.1","Female",1
2016,"21.6","Both sexes",1
2016,"22.0","Male",1
